1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,0,-1,-1,-1
6,1,1,-1,-1
7,5,2,2,-1
8,6,6,3,3
9,10,7,7,4
10,11,11,8,8
11,-1,12,12,9
12,-1,-1,13,13
13,-1,-1,-1,14
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,5,-1,-1,-1
22,6,6,-1,-1
23,10,7,7,-1
24,11,11,8,8
25,15,12,12,9
26,16,16,13,13
27,-1,17,17,14
28,-1,-1,18,18
29,-1,-1,-1,19
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,10,-1,-1,-1
38,11,11,-1,-1
39,15,12,12,-1
40,16,16,13,13
41,20,17,17,14
42,21,21,18,18
43,-1,22,22,19
44,-1,-1,23,23
45,-1,-1,-1,24
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
